	Method	rho-goodTrivia	tau-goodTrivia	rho-surprising	tau-surprising	rho-knew	tau-knew
0	transe, ap/ap	0.451	0.316	0.337	0.233	-0.196	-0.144
1	transe, c/c	0.460	0.314	0.350	0.237	-0.244	-0.180
2	transe, ap/c	0.430	0.293	0.333	0.228	-0.240	-0.177
3	random-2	0.157	0.110	0.164	0.109	-0.180	-0.124
4	random-1	0.129	0.089	0.093	0.058	-0.046	-0.034
5	frequency	0.328	0.236	0.329	0.238	-0.410	-0.304
6	profile-transe, ap/ap	0.306	0.218	0.215	0.156	-0.058	-0.047
7	profile-transe, c/c	0.353	0.250	0.257	0.178	-0.144	-0.107
8	profile-transe, ap/c	0.345	0.246	0.264	0.190	-0.141	-0.101
9	complex, ap/ap	0.424	0.303	0.322	0.221	-0.158	-0.113
10	complex, c/c	0.478	0.345	0.373	0.261	-0.247	-0.177
11	complex, ap/c	0.450	0.328	0.359	0.256	-0.251	-0.181
12	profile-complex, ap/ap	0.187	0.134	0.091	0.064	0.028	0.011
13	profile-complex, c/c	0.230	0.160	0.137	0.094	-0.074	-0.057
14	profile-complex, ap/c	0.219	0.157	0.124	0.089	-0.057	-0.047
15	text1024, ap/ap	0.342	0.235	0.297	0.209	-0.231	-0.164
16	text1024, c/c	0.396	0.271	0.345	0.235	-0.307	-0.218
17	text1024, ap/c	0.389	0.266	0.341	0.237	-0.301	-0.213
18	H, ap/ap	0.536	0.360	0.513	0.352	-0.454	-0.318
19	H, c/c	0.540	0.355	0.521	0.359	-0.499	-0.366
20	H, ap/c	0.499	0.325	0.498	0.344	-0.478	-0.350
21	A, ap/ap	0.228	0.163	0.187	0.132	-0.080	-0.038
22	A, c/c	0.311	0.224	0.240	0.169	-0.199	-0.110
23	A, ap/c	0.283	0.200	0.230	0.163	-0.237	-0.161
24	S, ap/ap	0.322	0.220	0.234	0.163	-0.250	-0.182
25	S, c/c	0.331	0.229	0.255	0.183	-0.333	-0.243
26	S, ap/c	0.225	0.152	0.169	0.122	-0.274	-0.202
27	LP-transe-avg-lhs-cos	0.074	0.059	0.069	0.069	0.009	0.006
28	LP-transe-avg-rhs-cos	0.172	0.129	0.130	0.087	-0.053	-0.030
29	LP-transe-max-lhs-cos	0.082	0.056	0.073	0.054	0.003	0.002
30	LP-transe-max-rhs-cos	0.173	0.126	0.105	0.071	-0.005	-0.006
31	LP-transe-centroid-rhs-cos	0.197	0.141	0.162	0.114	-0.109	-0.069
32	LP-complex-avg-lhs-cos	0.071	0.049	0.115	0.080	-0.136	-0.103
33	LP-complex-avg-rhs-cos	0.132	0.099	0.128	0.092	-0.131	-0.097
34	LP-complex-max-lhs-cos	0.069	0.062	0.108	0.084	-0.070	-0.046
35	LP-complex-max-rhs-cos	0.096	0.065	0.106	0.076	-0.086	-0.066
36	LP-complex-centroid-rhs-cos	0.146	0.113	0.148	0.111	-0.170	-0.126
37	LP-profile-transe-avg-lhs-cos (51 non-na)	0.166	0.128	0.103	0.078	-0.288	-0.207
38	LP-profile-transe-avg-lhs-cos + freq	0.159	0.118	0.110	0.077	-0.105	-0.073
39	LP-profile-transe-avg-rhs-cos (51 non-na)	0.138	0.113	0.157	0.118	-0.131	-0.081
40	LP-profile-transe-avg-rhs-cos + freq	0.128	0.110	0.124	0.098	-0.020	-0.007
41	LP-profile-transe-max-lhs-cos (51 non-na)	0.071	0.038	0.085	0.050	-0.201	-0.145
42	LP-profile-transe-max-lhs-cos + freq	0.107	0.071	0.093	0.063	-0.054	-0.040
43	LP-profile-transe-max-rhs-cos (51 non-na)	-0.079	-0.058	0.041	0.045	0.011	0.004
44	LP-profile-transe-max-rhs-cos + freq	0.025	0.020	0.066	0.059	0.060	0.039
45	LP-profile-transe-centroid-rhs-cos (51 non-na)	0.243	0.180	0.243	0.180	-0.241	-0.164
46	LP-profile-transe-centroid-rhs-cos + freq	0.183	0.145	0.174	0.131	-0.080	-0.050
47	LP-profile-complex-avg-lhs-cos (51 non-na)	-0.052	-0.038	-0.145	-0.101	-0.078	-0.064
48	LP-profile-complex-avg-lhs-cos + freq	0.041	0.032	-0.023	-0.017	0.015	0.002
49	LP-profile-complex-avg-rhs-cos (51 non-na)	-0.010	-0.004	-0.093	-0.067	0.052	0.038
50	LP-profile-complex-avg-rhs-cos + freq	0.063	0.049	0.002	0.001	0.085	0.056
51	LP-profile-complex-max-lhs-cos (51 non-na)	0.020	0.013	-0.028	-0.012	-0.128	-0.112
52	LP-profile-complex-max-lhs-cos + freq	0.080	0.057	0.034	0.029	-0.011	-0.023
53	LP-profile-complex-max-rhs-cos (51 non-na)	-0.063	-0.050	-0.143	-0.097	0.117	0.081
54	LP-profile-complex-max-rhs-cos + freq	0.033	0.023	-0.030	-0.017	0.119	0.079
55	LP-profile-complex-centroid-rhs-cos (51 non-na)	0.036	0.013	-0.068	-0.052	0.055	0.038
56	LP-profile-complex-centroid-rhs-cos + freq	0.086	0.058	0.018	0.009	0.087	0.056
